slot	destination class
wall_thermal_mass	built_env
wall_water_mold	built_env
water_feat_size	built_env
water_feat_type	built_env
weekday	built_env
window_cond	built_env
window_cover	built_env
window_horiz_pos	built_env
window_loc	built_env
window_mat	built_env
window_open_freq	built_env
window_size	built_env
window_status	built_env
window_type	built_env
window_vert_pos	built_env
window_water_mold	built_env
blood_press_diast	host-associated
blood_press_syst	host-associated
gravidity	host-associated
host_body_habitat	host-associated
host_body_product	host-associated
host_body_site	host-associated
host_body_temp	host-associated
host_color	host-associated
host_diet	host-associated
host_family_relation	host-associated
host_growth_cond	host-associated
host_last_meal	host-associated
host_sex	host-associated
host_shape	host-associated
host_subject_id	host-associated
host_substrate	host-associated
owc_tvdss	hcr-cores
permeability	hcr-cores
samp_md	hcr-cores
samp_tvdss	hcr-cores
sr_dep_env	hcr-cores
sr_geol_age	hcr-cores
sr_kerog_type	hcr-cores
sr_lithology	hcr-cores
add_recov_method	hcr-fluids-swabs
biocide	hcr-fluids-swabs
biocide_admin_method	hcr-fluids-swabs
chem_treat_method	hcr-fluids-swabs
chem_treatment	hcr-fluids-swabs
iw_bt_date_well	hcr-fluids-swabs
iwf	hcr-fluids-swabs
prod_rate	hcr-fluids-swabs
prod_start_date	hcr-fluids-swabs
samp_collect_point	hcr-fluids-swabs
samp_loc_corr_rate	hcr-fluids-swabs
samp_preserv	hcr-fluids-swabs
water_cut	hcr-fluids-swabs
water_prod_rate	hcr-fluids-swabs
additional_info	hcr-cores
additional_info	hcr-fluids-swabs
air_temp_regm	bioscales
air_temp_regm	plant-associated
air_temp_regm	soil
air_temp_regm	soil_emsl
air_temp_regm	soil_emsl_jgi_mg
air_temp_regm	soil_emsl_jgi_mg_mt
air_temp_regm	soil_emsl_jgi_mt
air_temp_regm	soil_jgi_mg
air_temp_regm	soil_jgi_mg_mt
air_temp_regm	soil_jgi_mt
alkalinity	biofilm
alkalinity	hcr-cores
alkalinity	hcr-fluids-swabs
alkalinity	misc-envs
alkalinity	sediment
alkalinity	wastewater_sludge
alkalinity	water
alkalinity_method	hcr-cores
alkalinity_method	hcr-fluids-swabs
alkalinity_method	water
alkyl_diethers	biofilm
alkyl_diethers	sediment
alkyl_diethers	water
alt	air
alt	biofilm
alt	bioscales
alt	built_env
alt	hcr-cores
alt	hcr-fluids-swabs
alt	host-associated
alt	misc-envs
alt	plant-associated
alt	sediment
alt	soil
alt	soil_emsl
alt	soil_emsl_jgi_mg
alt	soil_emsl_jgi_mg_mt
alt	soil_emsl_jgi_mt
alt	soil_jgi_mg
alt	soil_jgi_mg_mt
alt	soil_jgi_mt
alt	wastewater_sludge
alt	water
aminopept_act	biofilm
aminopept_act	sediment
aminopept_act	water
ammonium	biofilm
ammonium	hcr-cores
ammonium	hcr-fluids-swabs
ammonium	misc-envs
ammonium	sediment
ammonium	water
ances_data	host-associated
ances_data	plant-associated
api	hcr-cores
api	hcr-fluids-swabs
aromatics_pc	hcr-cores
aromatics_pc	hcr-fluids-swabs
asphaltenes_pc	hcr-cores
asphaltenes_pc	hcr-fluids-swabs
bacteria_carb_prod	biofilm
bacteria_carb_prod	sediment
bacteria_carb_prod	water
basin	hcr-cores
basin	hcr-fluids-swabs
benzene	hcr-cores
benzene	hcr-fluids-swabs
biol_stat	host-associated
biol_stat	plant-associated
biomass	biofilm
biomass	misc-envs
biomass	sediment
biomass	water
biotic_regm	bioscales
biotic_regm	plant-associated
biotic_regm	soil
biotic_regm	soil_emsl
biotic_regm	soil_emsl_jgi_mg
biotic_regm	soil_emsl_jgi_mg_mt
biotic_regm	soil_emsl_jgi_mt
biotic_regm	soil_jgi_mg
biotic_regm	soil_jgi_mg_mt
biotic_regm	soil_jgi_mt
bishomohopanol	biofilm
bishomohopanol	sediment
bishomohopanol	water
bromide	biofilm
bromide	misc-envs
bromide	sediment
bromide	water
calcium	biofilm
calcium	bioscales
calcium	hcr-cores
calcium	hcr-fluids-swabs
calcium	misc-envs
calcium	sediment
calcium	water
carb_dioxide	air
carb_dioxide	built_env
carb_nitro_ratio	biofilm
carb_nitro_ratio	bioscales
carb_nitro_ratio	sediment
carb_nitro_ratio	soil
carb_nitro_ratio	soil_emsl
carb_nitro_ratio	soil_emsl_jgi_mg
carb_nitro_ratio	soil_emsl_jgi_mg_mt
carb_nitro_ratio	soil_emsl_jgi_mt
carb_nitro_ratio	soil_jgi_mg
carb_nitro_ratio	soil_jgi_mg_mt
carb_nitro_ratio	soil_jgi_mt
chem_administration	air
chem_administration	biofilm
chem_administration	bioscales
chem_administration	host-associated
chem_administration	misc-envs
chem_administration	plant-associated
chem_administration	sediment
chem_administration	soil
chem_administration	soil_emsl
chem_administration	soil_emsl_jgi_mg
chem_administration	soil_emsl_jgi_mg_mt
chem_administration	soil_emsl_jgi_mt
chem_administration	soil_jgi_mg
chem_administration	soil_jgi_mg_mt
chem_administration	soil_jgi_mt
chem_administration	wastewater_sludge
chem_administration	water
chloride	biofilm
chloride	hcr-cores
chloride	hcr-fluids-swabs
chloride	misc-envs
chloride	sediment
chloride	water
chlorophyll	biofilm
chlorophyll	misc-envs
chlorophyll	sediment
chlorophyll	water
climate_environment	bioscales
climate_environment	plant-associated
climate_environment	soil
climate_environment	soil_emsl
climate_environment	soil_emsl_jgi_mg
climate_environment	soil_emsl_jgi_mg_mt
climate_environment	soil_emsl_jgi_mt
climate_environment	soil_jgi_mg
climate_environment	soil_jgi_mg_mt
climate_environment	soil_jgi_mt
collection_date	air
collection_date	biofilm
collection_date	bioscales
collection_date	built_env
collection_date	hcr-cores
collection_date	hcr-fluids-swabs
collection_date	host-associated
collection_date	misc-envs
collection_date	plant-associated
collection_date	sediment
collection_date	soil
collection_date	soil_emsl
collection_date	soil_emsl_jgi_mg
collection_date	soil_emsl_jgi_mg_mt
collection_date	soil_emsl_jgi_mt
collection_date	soil_jgi_mg
collection_date	soil_jgi_mg_mt
collection_date	soil_jgi_mt
collection_date	wastewater_sludge
collection_date	water
density	hcr-cores
density	hcr-fluids-swabs
density	misc-envs
density	sediment
density	water
depos_env	hcr-cores
depos_env	hcr-fluids-swabs
depth	air
depth	biofilm
depth	bioscales
depth	built_env
depth	hcr-cores
depth	hcr-fluids-swabs
depth	host-associated
depth	misc-envs
depth	plant-associated
depth	sediment
depth	soil
depth	soil_emsl
depth	soil_emsl_jgi_mg
depth	soil_emsl_jgi_mg_mt
depth	soil_emsl_jgi_mt
depth	soil_jgi_mg
depth	soil_jgi_mg_mt
depth	soil_jgi_mt
depth	wastewater_sludge
depth	water
diether_lipids	biofilm
diether_lipids	misc-envs
diether_lipids	sediment
diether_lipids	water
diss_carb_dioxide	biofilm
diss_carb_dioxide	hcr-cores
diss_carb_dioxide	hcr-fluids-swabs
diss_carb_dioxide	misc-envs
diss_carb_dioxide	sediment
diss_carb_dioxide	water
diss_hydrogen	biofilm
diss_hydrogen	misc-envs
diss_hydrogen	sediment
diss_hydrogen	water
diss_inorg_carb	biofilm
diss_inorg_carb	hcr-cores
diss_inorg_carb	hcr-fluids-swabs
diss_inorg_carb	misc-envs
diss_inorg_carb	sediment
diss_inorg_carb	water
diss_inorg_phosp	hcr-cores
diss_inorg_phosp	hcr-fluids-swabs
diss_inorg_phosp	water
diss_iron	hcr-cores
diss_iron	hcr-fluids-swabs
diss_org_carb	biofilm
diss_org_carb	hcr-cores
diss_org_carb	hcr-fluids-swabs
diss_org_carb	sediment
diss_org_carb	water
diss_org_nitro	biofilm
diss_org_nitro	misc-envs
diss_org_nitro	sediment
diss_org_nitro	water
diss_oxygen	biofilm
diss_oxygen	misc-envs
diss_oxygen	sediment
diss_oxygen	water
diss_oxygen_fluid	hcr-cores
diss_oxygen_fluid	hcr-fluids-swabs
elev	air
elev	biofilm
elev	bioscales
elev	built_env
elev	hcr-cores
elev	hcr-fluids-swabs
elev	host-associated
elev	misc-envs
elev	plant-associated
elev	sediment
elev	soil
elev	soil_emsl
elev	soil_emsl_jgi_mg
elev	soil_emsl_jgi_mg_mt
elev	soil_emsl_jgi_mt
elev	soil_jgi_mg
elev	soil_jgi_mg_mt
elev	soil_jgi_mt
elev	wastewater_sludge
elev	water
env_broad_scale	air
env_broad_scale	biofilm
env_broad_scale	bioscales
env_broad_scale	built_env
env_broad_scale	hcr-cores
env_broad_scale	hcr-fluids-swabs
env_broad_scale	host-associated
env_broad_scale	misc-envs
env_broad_scale	plant-associated
env_broad_scale	sediment
env_broad_scale	soil
env_broad_scale	soil_emsl
env_broad_scale	soil_emsl_jgi_mg
env_broad_scale	soil_emsl_jgi_mg_mt
env_broad_scale	soil_emsl_jgi_mt
env_broad_scale	soil_jgi_mg
env_broad_scale	soil_jgi_mg_mt
env_broad_scale	soil_jgi_mt
env_broad_scale	wastewater_sludge
env_broad_scale	water
env_local_scale	air
env_local_scale	biofilm
env_local_scale	bioscales
env_local_scale	built_env
env_local_scale	hcr-cores
env_local_scale	hcr-fluids-swabs
env_local_scale	host-associated
env_local_scale	misc-envs
env_local_scale	plant-associated
env_local_scale	sediment
env_local_scale	soil
env_local_scale	soil_emsl
env_local_scale	soil_emsl_jgi_mg
env_local_scale	soil_emsl_jgi_mg_mt
env_local_scale	soil_emsl_jgi_mt
env_local_scale	soil_jgi_mg
env_local_scale	soil_jgi_mg_mt
env_local_scale	soil_jgi_mt
env_local_scale	wastewater_sludge
env_local_scale	water
env_medium	air
env_medium	biofilm
env_medium	bioscales
env_medium	built_env
env_medium	hcr-cores
env_medium	hcr-fluids-swabs
env_medium	host-associated
env_medium	misc-envs
env_medium	plant-associated
env_medium	sediment
env_medium	soil
env_medium	soil_emsl
env_medium	soil_emsl_jgi_mg
env_medium	soil_emsl_jgi_mg_mt
env_medium	soil_emsl_jgi_mt
env_medium	soil_jgi_mg
env_medium	soil_jgi_mg_mt
env_medium	soil_jgi_mt
env_medium	wastewater_sludge
env_medium	water
ethylbenzene	hcr-cores
ethylbenzene	hcr-fluids-swabs
experimental_factor	air
experimental_factor	biofilm
experimental_factor	bioscales
experimental_factor	built_env
experimental_factor	hcr-cores
experimental_factor	hcr-fluids-swabs
experimental_factor	host-associated
experimental_factor	misc-envs
experimental_factor	plant-associated
experimental_factor	sediment
experimental_factor	soil
experimental_factor	soil_emsl
experimental_factor	soil_emsl_jgi_mg
experimental_factor	soil_emsl_jgi_mg_mt
experimental_factor	soil_emsl_jgi_mt
experimental_factor	soil_jgi_mg
experimental_factor	soil_jgi_mg_mt
experimental_factor	soil_jgi_mt
experimental_factor	wastewater_sludge
experimental_factor	water
field	hcr-cores
field	hcr-fluids-swabs
gaseous_environment	bioscales
gaseous_environment	plant-associated
gaseous_environment	soil
gaseous_environment	soil_emsl
gaseous_environment	soil_emsl_jgi_mg
gaseous_environment	soil_emsl_jgi_mg_mt
gaseous_environment	soil_emsl_jgi_mt
gaseous_environment	soil_jgi_mg
gaseous_environment	soil_jgi_mg_mt
gaseous_environment	soil_jgi_mt
genetic_mod	host-associated
genetic_mod	plant-associated
geo_loc_name	air
geo_loc_name	biofilm
geo_loc_name	bioscales
geo_loc_name	built_env
geo_loc_name	hcr-cores
geo_loc_name	hcr-fluids-swabs
geo_loc_name	host-associated
geo_loc_name	misc-envs
geo_loc_name	plant-associated
geo_loc_name	sediment
geo_loc_name	soil
geo_loc_name	soil_emsl
geo_loc_name	soil_emsl_jgi_mg
geo_loc_name	soil_emsl_jgi_mg_mt
geo_loc_name	soil_emsl_jgi_mt
geo_loc_name	soil_jgi_mg
geo_loc_name	soil_jgi_mg_mt
geo_loc_name	soil_jgi_mt
geo_loc_name	wastewater_sludge
geo_loc_name	water
glucosidase_act	biofilm
glucosidase_act	sediment
glucosidase_act	water
growth_facil	bioscales
growth_facil	plant-associated
growth_facil	soil
growth_facil	soil_emsl
growth_facil	soil_emsl_jgi_mg
growth_facil	soil_emsl_jgi_mg_mt
growth_facil	soil_emsl_jgi_mt
growth_facil	soil_jgi_mg
growth_facil	soil_jgi_mg_mt
growth_facil	soil_jgi_mt
hc_produced	hcr-cores
hc_produced	hcr-fluids-swabs
hcr	hcr-cores
hcr	hcr-fluids-swabs
hcr_fw_salinity	hcr-cores
hcr_fw_salinity	hcr-fluids-swabs
hcr_geol_age	hcr-cores
hcr_geol_age	hcr-fluids-swabs
hcr_pressure	hcr-cores
hcr_pressure	hcr-fluids-swabs
hcr_temp	hcr-cores
hcr_temp	hcr-fluids-swabs
host_age	host-associated
host_age	plant-associated
host_common_name	host-associated
host_common_name	plant-associated
host_dry_mass	host-associated
host_dry_mass	plant-associated
host_genotype	host-associated
host_genotype	plant-associated
host_height	host-associated
host_height	plant-associated
host_length	host-associated
host_length	plant-associated
host_life_stage	host-associated
host_life_stage	plant-associated
host_phenotype	host-associated
host_phenotype	plant-associated
host_subspecf_genlin	host-associated
host_subspecf_genlin	plant-associated
host_symbiont	host-associated
host_symbiont	plant-associated
host_taxid	host-associated
host_taxid	plant-associated
host_tot_mass	host-associated
host_tot_mass	plant-associated
humidity_regm	bioscales
humidity_regm	plant-associated
humidity_regm	soil
humidity_regm	soil_emsl
humidity_regm	soil_emsl_jgi_mg
humidity_regm	soil_emsl_jgi_mg_mt
humidity_regm	soil_emsl_jgi_mt
humidity_regm	soil_jgi_mg
humidity_regm	soil_jgi_mg_mt
humidity_regm	soil_jgi_mt
lat_lon	air
lat_lon	biofilm
lat_lon	bioscales
lat_lon	built_env
lat_lon	hcr-cores
lat_lon	hcr-fluids-swabs
lat_lon	host-associated
lat_lon	misc-envs
lat_lon	plant-associated
lat_lon	sediment
lat_lon	soil
lat_lon	soil_emsl
lat_lon	soil_emsl_jgi_mg
lat_lon	soil_emsl_jgi_mg_mt
lat_lon	soil_emsl_jgi_mt
lat_lon	soil_jgi_mg
lat_lon	soil_jgi_mg_mt
lat_lon	soil_jgi_mt
lat_lon	wastewater_sludge
lat_lon	water
light_regm	bioscales
light_regm	plant-associated
light_regm	soil
light_regm	soil_emsl
light_regm	soil_emsl_jgi_mg
light_regm	soil_emsl_jgi_mg_mt
light_regm	soil_emsl_jgi_mt
light_regm	soil_jgi_mg
light_regm	soil_jgi_mg_mt
light_regm	soil_jgi_mt
lithology	hcr-cores
lithology	hcr-fluids-swabs
magnesium	biofilm
magnesium	bioscales
magnesium	hcr-cores
magnesium	hcr-fluids-swabs
magnesium	sediment
magnesium	
mean_frict_vel	biofilm
mean_frict_vel	sediment
mean_frict_vel	water
mean_peak_frict_vel	biofilm
mean_peak_frict_vel	sediment
mean_peak_frict_vel	water
methane	air
methane	biofilm
methane	sediment
misc_param	air
misc_param	biofilm
misc_param	bioscales
misc_param	hcr-cores
misc_param	hcr-fluids-swabs
misc_param	host-associated
misc_param	misc-envs
misc_param	plant-associated
misc_param	sediment
misc_param	soil
misc_param	soil_emsl
misc_param	soil_emsl_jgi_mg
misc_param	soil_emsl_jgi_mg_mt
misc_param	soil_emsl_jgi_mt
misc_param	soil_jgi_mg
misc_param	soil_jgi_mg_mt
misc_param	soil_jgi_mt
misc_param	wastewater_sludge
misc_param	water
n_alkanes	biofilm
n_alkanes	sediment
n_alkanes	water
nitrate	biofilm
nitrate	hcr-cores
nitrate	hcr-fluids-swabs
nitrate	misc-envs
nitrate	sediment
nitrate	wastewater_sludge
nitrate	water
nitrite	biofilm
nitrite	hcr-cores
nitrite	hcr-fluids-swabs
nitrite	misc-envs
nitrite	sediment
nitrite	water
nitro	biofilm
nitro	misc-envs
nitro	sediment
nitro	water
org_carb	biofilm
org_carb	misc-envs
org_carb	sediment
org_carb	water
org_count_qpcr_info	hcr-cores
org_count_qpcr_info	hcr-fluids-swabs
org_matter	biofilm
org_matter	bioscales
org_matter	misc-envs
org_matter	sediment
org_matter	soil
org_matter	soil_emsl
org_matter	soil_emsl_jgi_mg
org_matter	soil_emsl_jgi_mg_mt
org_matter	soil_emsl_jgi_mt
org_matter	soil_jgi_mg
org_matter	soil_jgi_mg_mt
org_matter	soil_jgi_mt
org_matter	water
org_nitro	biofilm
org_nitro	bioscales
org_nitro	misc-envs
org_nitro	sediment
org_nitro	soil
org_nitro	soil_emsl
org_nitro	soil_emsl_jgi_mg
org_nitro	soil_emsl_jgi_mg_mt
org_nitro	soil_emsl_jgi_mt
org_nitro	soil_jgi_mg
org_nitro	soil_jgi_mg_mt
org_nitro	soil_jgi_mt
org_nitro	water
organism_count	air
organism_count	biofilm
organism_count	built_env
organism_count	hcr-cores
organism_count	hcr-fluids-swabs
organism_count	host-associated
organism_count	misc-envs
organism_count	plant-associated
organism_count	sediment
organism_count	wastewater_sludge
organism_count	water
oxy_stat_samp	air
oxy_stat_samp	biofilm
oxy_stat_samp	bioscales
oxy_stat_samp	hcr-cores
oxy_stat_samp	hcr-fluids-swabs
oxy_stat_samp	host-associated
oxy_stat_samp	misc-envs
oxy_stat_samp	plant-associated
oxy_stat_samp	sediment
oxy_stat_samp	soil
oxy_stat_samp	soil_emsl
oxy_stat_samp	soil_emsl_jgi_mg
oxy_stat_samp	soil_emsl_jgi_mg_mt
oxy_stat_samp	soil_emsl_jgi_mt
oxy_stat_samp	soil_jgi_mg
oxy_stat_samp	soil_jgi_mg_mt
oxy_stat_samp	soil_jgi_mt
oxy_stat_samp	wastewater_sludge
oxy_stat_samp	water
part_org_carb	biofilm
part_org_carb	sediment
part_org_carb	water
perturbation	air
perturbation	biofilm
perturbation	host-associated
perturbation	misc-envs
perturbation	plant-associated
perturbation	sediment
perturbation	wastewater_sludge
perturbation	water
petroleum_hydrocarb	biofilm
petroleum_hydrocarb	sediment
petroleum_hydrocarb	water
ph	biofilm
ph	bioscales
ph	hcr-cores
ph	hcr-fluids-swabs
ph	misc-envs
ph	sediment
ph	soil
ph	soil_emsl
ph	soil_emsl_jgi_mg
ph	soil_emsl_jgi_mg_mt
ph	soil_emsl_jgi_mt
ph	soil_jgi_mg
ph	soil_jgi_mg_mt
ph	soil_jgi_mt
ph	wastewater_sludge
ph	water
phaeopigments	biofilm
phaeopigments	sediment
phaeopigments	water
phosphate	biofilm
phosphate	bioscales
phosphate	misc-envs
phosphate	sediment
phosphate	soil
phosphate	soil_emsl
phosphate	soil_emsl_jgi_mg
phosphate	soil_emsl_jgi_mg_mt
phosphate	soil_emsl_jgi_mt
phosphate	soil_jgi_mg
phosphate	soil_jgi_mg_mt
phosphate	soil_jgi_mt
phosphate	wastewater_sludge
phosphate	water
phosplipid_fatt_acid	biofilm
phosplipid_fatt_acid	misc-envs
phosplipid_fatt_acid	sediment
phosplipid_fatt_acid	water
porosity	hcr-cores
porosity	sediment
potassium	biofilm
potassium	bioscales
potassium	hcr-cores
potassium	hcr-fluids-swabs
potassium	misc-envs
potassium	sediment
potassium	water
pour_point	hcr-cores
pour_point	hcr-fluids-swabs
pressure	biofilm
pressure	hcr-cores
pressure	hcr-fluids-swabs
pressure	misc-envs
pressure	sediment
pressure	water
redox_potential	biofilm
redox_potential	sediment
redox_potential	water
rel_to_oxygen	air
rel_to_oxygen	biofilm
rel_to_oxygen	bioscales
rel_to_oxygen	hcr-cores
rel_to_oxygen	hcr-fluids-swabs
rel_to_oxygen	host-associated
rel_to_oxygen	misc-envs
rel_to_oxygen	plant-associated
rel_to_oxygen	sediment
rel_to_oxygen	soil
rel_to_oxygen	soil_emsl
rel_to_oxygen	soil_emsl_jgi_mg
rel_to_oxygen	soil_emsl_jgi_mg_mt
rel_to_oxygen	soil_emsl_jgi_mt
rel_to_oxygen	soil_jgi_mg
rel_to_oxygen	soil_jgi_mg_mt
rel_to_oxygen	soil_jgi_mt
rel_to_oxygen	wastewater_sludge
rel_to_oxygen	water
reservoir	hcr-cores
reservoir	hcr-fluids-swabs
resins_pc	hcr-cores
resins_pc	hcr-fluids-swabs
salinity	air
salinity	biofilm
salinity	bioscales
salinity	hcr-cores
salinity	hcr-fluids-swabs
salinity	host-associated
salinity	misc-envs
salinity	plant-associated
salinity	sediment
salinity	soil
salinity	soil_emsl
salinity	soil_emsl_jgi_mg
salinity	soil_emsl_jgi_mg_mt
salinity	soil_emsl_jgi_mt
salinity	soil_jgi_mg
salinity	soil_jgi_mg_mt
salinity	soil_jgi_mt
salinity	wastewater_sludge
salinity	water
samp_capt_status	host-associated
samp_capt_status	plant-associated
samp_collec_device	air
samp_collec_device	biofilm
samp_collec_device	bioscales
samp_collec_device	hcr-cores
samp_collec_device	hcr-fluids-swabs
samp_collec_device	host-associated
samp_collec_device	misc-envs
samp_collec_device	plant-associated
samp_collec_device	sediment
samp_collec_device	soil
samp_collec_device	soil_emsl
samp_collec_device	soil_emsl_jgi_mg
samp_collec_device	soil_emsl_jgi_mg_mt
samp_collec_device	soil_emsl_jgi_mt
samp_collec_device	soil_jgi_mg
samp_collec_device	soil_jgi_mg_mt
samp_collec_device	soil_jgi_mt
samp_collec_device	wastewater_sludge
samp_collec_device	water
samp_collec_method	air
samp_collec_method	biofilm
samp_collec_method	bioscales
samp_collec_method	hcr-cores
samp_collec_method	hcr-fluids-swabs
samp_collec_method	host-associated
samp_collec_method	misc-envs
samp_collec_method	plant-associated
samp_collec_method	sediment
samp_collec_method	soil
samp_collec_method	soil_emsl
samp_collec_method	soil_emsl_jgi_mg
samp_collec_method	soil_emsl_jgi_mg_mt
samp_collec_method	soil_emsl_jgi_mt
samp_collec_method	soil_jgi_mg
samp_collec_method	soil_jgi_mg_mt
