class	slot	slot_schema
MAG bin	type	https://microbiomedata/schema/basic_slots
MAG bin	bin name	https://microbiomedata/schema/core
MAG bin	number of contig	https://microbiomedata/schema/core
MAG bin	completeness	https://microbiomedata/schema/core
MAG bin	contamination	https://microbiomedata/schema/core
MAG bin	gene count	https://microbiomedata/schema/core
MAG bin	bin quality	https://microbiomedata/schema/core
MAG bin	num 16s	https://microbiomedata/schema/core
MAG bin	num 5s	https://microbiomedata/schema/core
MAG bin	num 23s	https://microbiomedata/schema/core
MAG bin	num tRNA	https://microbiomedata/schema/core
MAG bin	gtdbtk domain	https://microbiomedata/schema/core
MAG bin	gtdbtk phylum	https://microbiomedata/schema/core
MAG bin	gtdbtk class	https://microbiomedata/schema/core
MAG bin	gtdbtk order	https://microbiomedata/schema/core
MAG bin	gtdbtk family	https://microbiomedata/schema/core
MAG bin	gtdbtk genus	https://microbiomedata/schema/core
MAG bin	gtdbtk species	https://microbiomedata/schema/core
MAGs analysis activity	input contig num	https://microbiomedata/schema/workflow_execution_activity
MAGs analysis activity	binned contig num	https://microbiomedata/schema/workflow_execution_activity
MAGs analysis activity	too short contig num	https://microbiomedata/schema/workflow_execution_activity
MAGs analysis activity	lowDepth contig num	https://microbiomedata/schema/workflow_execution_activity
MAGs analysis activity	unbinned contig num	https://microbiomedata/schema/workflow_execution_activity
MAGs analysis activity	mags list	https://microbiomedata/schema/workflow_execution_activity
MAGs analysis activity	execution resource	https://microbiomedata/schema/core
MAGs analysis activity	git url	https://microbiomedata/schema/core
MAGs analysis activity	has input	https://microbiomedata/schema/core
MAGs analysis activity	has output	https://microbiomedata/schema/core
MAGs analysis activity	part of	https://microbiomedata/schema/core
MAGs analysis activity	type	https://microbiomedata/schema/basic_slots
MAGs analysis activity	id	https://microbiomedata/schema/basic_slots
MAGs analysis activity	name	https://microbiomedata/schema/basic_slots
MAGs analysis activity	started at time	https://microbiomedata/schema/prov
MAGs analysis activity	ended at time	https://microbiomedata/schema/prov
