OmicsProcessing	OmicsProcessing_gold_sequencing_project_identifierss	OmicsProcessing_has_input_rdf_types	OmicsProcessing_has_inputs	OmicsProcessing_has_output_rdf_types	OmicsProcessing_has_outputs	OmicsProcessing_instrument_name	OmicsProcessing_ncbi_project_name	OmicsProcessing_omics_type_rdf_types	OmicsProcessing_omics_type_terms	OmicsProcessing_omics_type_has_raw_values	OmicsProcessing_part_of_rdf_types	OmicsProcessing_part_ofs	OmicsProcessing_processing_institution	OmicsProcessing_type	OmicsProcessing_name
nmdc:omprc-11-02q75m18		nmdc:ProcessedSample	nmdc:procsm-11-4rjzm025	nmdc:DataObject	nmdc:dobj-11-9je8wa62|nmdc:dobj-11-z8v0jz68	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TALL_001-M-20190618-COMP-DNA1
nmdc:omprc-11-03jfkz64		nmdc:ProcessedSample	nmdc:procsm-11-vgtk6f05	nmdc:DataObject	nmdc:dobj-11-22m9cv15|nmdc:dobj-11-h7djbg54|nmdc:dobj-11-hfmjt739|nmdc:dobj-11-vpe6ry67	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TOOL_004-M-20170726-COMP-DNA1
nmdc:omprc-11-03mfsp11		nmdc:ProcessedSample	nmdc:procsm-11-853w2x59	nmdc:DataObject	nmdc:dobj-11-hv2x4e33|nmdc:dobj-11-zan7qe85	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TOOL_042-O-20190806-COMP-DNA1
nmdc:omprc-11-03vj0a11		nmdc:ProcessedSample	nmdc:procsm-11-ww6gfz35	nmdc:DataObject	nmdc:dobj-11-m67xe751|nmdc:dobj-11-xctdbb11	Illumina HiSeq	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	ANL	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WOOD_001-M-20140702-COMP-DNA1
nmdc:omprc-11-04bznj27		nmdc:ProcessedSample	nmdc:procsm-11-ssw75569	nmdc:DataObject	nmdc:dobj-11-1sgs7e22|nmdc:dobj-11-vcbzeh41	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WREF_001-O-20200722-COMP-DNA1
nmdc:omprc-11-04tzp989		nmdc:ProcessedSample	nmdc:procsm-11-w04vbc60	nmdc:DataObject	nmdc:dobj-11-23cdy277|nmdc:dobj-11-h69c4v12	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SCBI_067-M-20200721-COMP-DNA1
nmdc:omprc-11-07asyy88		nmdc:ProcessedSample	nmdc:procsm-11-kz6hzv84	nmdc:DataObject	nmdc:dobj-11-1mk0cr31|nmdc:dobj-11-c7vq4m48	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SRER_004-M-20180801-COMP-DNA1
nmdc:omprc-11-0bwmck67		nmdc:ProcessedSample	nmdc:procsm-11-5wcxcy55	nmdc:DataObject	nmdc:dobj-11-hq7yy184|nmdc:dobj-11-m52ckh06	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SJER_003-M-20180219-COMP-DNA1
nmdc:omprc-11-0cv2b930		nmdc:ProcessedSample	nmdc:procsm-11-f0n09t89	nmdc:DataObject	nmdc:dobj-11-e876et59|nmdc:dobj-11-zhewk679	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - UNDE_044-M-20170802-COMP-DNA1
nmdc:omprc-11-0g272j90		nmdc:ProcessedSample	nmdc:procsm-11-2t119s50	nmdc:DataObject	nmdc:dobj-11-bpzhqe27|nmdc:dobj-11-f9t9ds07	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - CPER_045-M-20200624-COMP-DNA1
nmdc:omprc-11-0hw9dj96		nmdc:ProcessedSample	nmdc:procsm-11-vhfb5c18	nmdc:DataObject	nmdc:dobj-11-9qs93603|nmdc:dobj-11-t82d2345|nmdc:dobj-11-x5w44q11|nmdc:dobj-11-xtnn6646	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - STER_029-M-20170605-COMP-DNA1
nmdc:omprc-11-0khnkt26		nmdc:ProcessedSample	nmdc:procsm-11-r0rxta37	nmdc:DataObject	nmdc:dobj-11-7gckrw78|nmdc:dobj-11-j2fswb29	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - OSBS_026-M-20190702-COMP-DNA1
nmdc:omprc-11-0m0x8n29		nmdc:ProcessedSample	nmdc:procsm-11-gzp6z853	nmdc:DataObject	nmdc:dobj-11-6etdam03|nmdc:dobj-11-7hnq7r87	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WOOD_024-M-20180725-COMP-DNA1
nmdc:omprc-11-0msbma72		nmdc:ProcessedSample	nmdc:procsm-11-evdyqy30	nmdc:DataObject	nmdc:dobj-11-b2h91k17|nmdc:dobj-11-v7a98097	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - UNDE_034-O-20160811-COMP-DNA1
nmdc:omprc-11-0nzwpm21		nmdc:ProcessedSample	nmdc:procsm-11-amm9td86	nmdc:DataObject	nmdc:dobj-11-ndn3sj27|nmdc:dobj-11-qgbpmm42	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - UNDE_037-O-20200804-COMP-DNA1
nmdc:omprc-11-0p8zjp11		nmdc:ProcessedSample	nmdc:procsm-11-pthy5h42	nmdc:DataObject	nmdc:dobj-11-hs7sf264|nmdc:dobj-11-s21m9s64	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SCBI_005-M-20170719-COMP-DNA1
nmdc:omprc-11-0s7rw240		nmdc:ProcessedSample	nmdc:procsm-11-ftjhgw04	nmdc:DataObject	nmdc:dobj-11-13maqh64|nmdc:dobj-11-65jtdy25	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SJER_002-M-20190312-COMP-DNA1
nmdc:omprc-11-0v5c7176		nmdc:ProcessedSample	nmdc:procsm-11-d1grr553	nmdc:DataObject	nmdc:dobj-11-s6qtv398|nmdc:dobj-11-x451z048	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ORNL_046-O-20180718-COMP-DNA1
nmdc:omprc-11-0xd2ye39		nmdc:ProcessedSample	nmdc:procsm-11-0ap37k85	nmdc:DataObject	nmdc:dobj-11-783nhh20|nmdc:dobj-11-8d387725	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TALL_044-M-20190617-COMP-DNA1
nmdc:omprc-11-0zre5v44		nmdc:ProcessedSample	nmdc:procsm-11-3sj0vd44	nmdc:DataObject	nmdc:dobj-11-5ggwzz83|nmdc:dobj-11-aw6gd406	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - RMNP_045-O-20200701-COMP-DNA1
nmdc:omprc-11-11g8te26		nmdc:ProcessedSample	nmdc:procsm-11-fm4tex27	nmdc:DataObject	nmdc:dobj-11-9k4ey892|nmdc:dobj-11-j0a1b013	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - OSBS_001-O-20160824-COMP-DNA1
