data_product	neon_table	neon_field_name	match_type	nmdc_class	nmdc_slot	static_value	notes
DP1.10086.001	bgc_CNiso_externalSummary	uid					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	analyte					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	analyteUnits					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	sampleType					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	qaReferenceID					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	analyteKnownValue					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	analyteObservedValue					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	analyteAbsoluteError					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	analyteStandardDeviation					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	analyteMetricsCount					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	qaReportingStartDate					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	qaReportingEndDate					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	laboratoryName					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	instrument					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	testMethod					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	method					Exclude
DP1.10086.001	bgc_CNiso_externalSummary	dataQF					Exclude
DP1.10086.001	ntr_externalLab	uid					Exclude
DP1.10086.001	ntr_externalLab	namedLocation					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_externalLab	domainID					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_externalLab	siteID					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_externalLab	plotID					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_externalLab	startDate					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_externalLab	collectDate					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_externalLab	sampleID					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_externalLab	sampleCode					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_externalLab	kclSampleID					inherited from ntr_internalLab
DP1.10086.001	ntr_externalLab	kclSampleCode					inherited from ntr_internalLab
DP1.10086.001	ntr_externalLab	sampleCondition					
DP1.10086.001	ntr_externalLab	ammoniumNAnalysisDate					
DP1.10086.001	ntr_externalLab	kclAmmoniumNConc	narrow_mapping	Biosample	ammonium_nitrogen.has_numeric_value		
DP1.10086.001	ntr_externalLab	ammoniumNRepNum	narrow_mapping	Biosample	replicate_number		
DP1.10086.001	ntr_externalLab	ammoniumNQF					
DP1.10086.001	ntr_externalLab	ammoniumNRemarks					Exclude
DP1.10086.001	ntr_externalLab	nitrateNitriteNAnalysisDate					
DP1.10086.001	ntr_externalLab	kclNitrateNitriteNConc	exact_mapping	Biosample	tot_nitro_content.has_numeric_value		
DP1.10086.001	ntr_externalLab	nitrateNitriteNRepNum	narrow_mapping	Biosample	replicate_number		
DP1.10086.001	ntr_externalLab	nitrateNitriteNQF					
DP1.10086.001	ntr_externalLab	nitrateNitriteNRemarks					Exclude
DP1.10086.001	ntr_externalLab	laboratoryName					
DP1.10086.001	ntr_externalLab	ammoniumNMethod					
DP1.10086.001	ntr_externalLab	ammoniumNInstrument					
DP1.10086.001	ntr_externalLab	ammoniumNAnalyzedBy					Exclude
DP1.10086.001	ntr_externalLab	ammoniumNReviewedBy					Exclude
DP1.10086.001	ntr_externalLab	nitrateNitriteNMethod					
DP1.10086.001	ntr_externalLab	nitrateNitriteNInstrument					
DP1.10086.001	ntr_externalLab	nitrateNitriteNAnalyzedBy					Exclude
DP1.10086.001	ntr_externalLab	nitrateNitriteNReviewedBy					Exclude
DP1.10086.001	ntr_externalLab	dataQF					
DP1.10086.001	ntr_externalSummary	uid					Exclude
DP1.10086.001	ntr_externalSummary	analyte					Exclude
DP1.10086.001	ntr_externalSummary	analyteUnits					Exclude
DP1.10086.001	ntr_externalSummary	sampleType					Exclude
DP1.10086.001	ntr_externalSummary	qaReferenceID					Exclude
DP1.10086.001	ntr_externalSummary	lotID					Exclude
DP1.10086.001	ntr_externalSummary	analyteKnownValue					Exclude
DP1.10086.001	ntr_externalSummary	analyteObservedValue					Exclude
DP1.10086.001	ntr_externalSummary	analytePercentRecovery					Exclude
DP1.10086.001	ntr_externalSummary	analyteStandardDeviation					Exclude
DP1.10086.001	ntr_externalSummary	methodDetectionLimit					Exclude
DP1.10086.001	ntr_externalSummary	analyteMetricsCount					Exclude
DP1.10086.001	ntr_externalSummary	qaReportingStartDate					Exclude
DP1.10086.001	ntr_externalSummary	qaReportingEndDate					Exclude
DP1.10086.001	ntr_externalSummary	laboratoryName					Exclude
DP1.10086.001	ntr_externalSummary	instrument					Exclude
DP1.10086.001	ntr_externalSummary	method					Exclude
DP1.10086.001	ntr_externalSummary	dataQF					Exclude
DP1.10086.001	ntr_internalLab	uid					Exclude
DP1.10086.001	ntr_internalLab	namedLocation					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_internalLab	domainID					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_internalLab	siteID					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_internalLab	plotID					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_internalLab	plotType					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_internalLab	startDate					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_internalLab	collectDate					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_internalLab	samplingProtocolVersion					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_internalLab	sampleID					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_internalLab	sampleCode					inherited from sls_soilCoreCollection
DP1.10086.001	ntr_internalLab	kclSampleID					
DP1.10086.001	ntr_internalLab	kclSampleCode					
