env_package	count	lhs	rhs	extract	remaining_string	remaining_tidied	rt_override	EnvPackage	is_canonical
	14083847								True
host-associated	49254		host-associated		host-associated	host associated	host associated	host-associated	True
human-gut	47921		human-gut		human-gut	human gut	human gut	human-gut	True
water	16367		water		water	water	water	water	True
human-skin	13706		human-skin		human-skin	human skin	human skin	human-skin	True
built environment	12391		built environment		built environment	built environment	built	built	True
soil	11974		soil		soil	soil	soil	soil	True
misc environment	11715		misc environment		misc environment	misc environment	miscellaneous	miscellaneous	True
missing	8453		missing		missing	missing	no environmental package	No environmental package	True
human-oral	7882		human-oral		human-oral	human oral	human oral	human-oral	True
sediment	5969		sediment		sediment	sediment	sediment	sediment	True
MIGS/MIMS/MIMARKS.soil	3784	MIGS/MIMS/MIMARKS	soil		soil	soil	soil	soil	True
human-associated	3167		human-associated		human-associated	human associated	human associated	human-associated	True
MIGS/MIMS/MIMARKS.host-associated	2985	MIGS/MIMS/MIMARKS	host-associated		host-associated	host associated	host associated	host-associated	True
MIGS/MIMS/MIMARKS.human-gut	2499	MIGS/MIMS/MIMARKS	human-gut		human-gut	human gut	human gut	human-gut	True
microbial mat/biofilm	2129		microbial mat/biofilm		microbial mat/biofilm	microbial mat biofilm	microbial	microbial	True
plant-associated	2076		plant-associated		plant-associated	plant associated	plant associated	plant-associated	True
MIGS/MIMS/MIMARKS.water	1763	MIGS/MIMS/MIMARKS	water		water	water	water	water	True
MIGS/MIMS/MIMARKS.human-associated	1417	MIGS/MIMS/MIMARKS	human-associated		human-associated	human associated	human associated	human-associated	True
MIGS/MIMS/MIMARKS.sediment	1177	MIGS/MIMS/MIMARKS	sediment		sediment	sediment	sediment	sediment	True
MIGS/MIMS/MIMARKS.human-oral	1154	MIGS/MIMS/MIMARKS	human-oral		human-oral	human oral	human oral	human-oral	True
human-vaginal	1077		human-vaginal		human-vaginal	human vaginal	human vaginal	human-vaginal	True
MIGS/MIMS/MIMARKS.plant-associated	1063	MIGS/MIMS/MIMARKS	plant-associated		plant-associated	plant associated	plant associated	plant-associated	True
MIGS/MIMS/MIMARKS.microbial	732	MIGS/MIMS/MIMARKS	microbial		microbial	microbial	microbial	microbial	True
miscellaneous natural or artificial environment	611		miscellaneous natural or artificial environment		miscellaneous natural or artificial environment	miscellaneous natural or artificial environment	miscellaneous natural or artificial environment		False
MIGS/MIMS/MIMARKS.miscellaneous	525	MIGS/MIMS/MIMARKS	miscellaneous		miscellaneous	miscellaneous	miscellaneous	miscellaneous	True
mimarks	479		mimarks		mimarks	mimarks	mimarks		False
wastewater|sludge	417		wastewater|sludge		wastewater|sludge	wastewater sludge	wastewater	wastewater	True
mouse-gut	406		mouse-gut		mouse-gut	mouse gut	mouse gut		False
MIGS/MIMS/MIMARKS.wastewater	385	MIGS/MIMS/MIMARKS	wastewater		wastewater	wastewater	wastewater	wastewater	True
wastewater/sludge	357		wastewater/sludge		wastewater/sludge	wastewater sludge	wastewater	wastewater	True
unknown	283		unknown		unknown	unknown	no environmental package	No environmental package	True
Human-associated	212		Human-associated		Human-associated	human associated	human associated	human-associated	True
MIGS/MIMS/MIMARKS.air	205	MIGS/MIMS/MIMARKS	air		air	air	air	air	True
Human-oral	201		Human-oral		Human-oral	human oral	human oral	human-oral	True
gut	172		gut		gut	gut	gut		False
host_associated	171		host_associated		host_associated	host associated	host associated	host-associated	True
air	152		air		air	air	air	air	True
MIGS/MIMS/MIMARKS.human-skin	135	MIGS/MIMS/MIMARKS	human-skin		human-skin	human skin	human skin	human-skin	True
biofilm	114		biofilm		biofilm	biofilm	biofilm		False
Human-gut	111		Human-gut		Human-gut	human gut	human gut	human-gut	True
human-not providedsopharyngeal	107		human-not providedsopharyngeal		human-not providedsopharyngeal	human not providedsopharyngeal	human not providedsopharyngeal		False
wastewater sludge	90		wastewater sludge		wastewater sludge	wastewater sludge	wastewater	wastewater	True
