id	accession	raw_id	primary_id	sra_id	bp_id	model	package	package_name	status	status_date	taxonomy_id	taxonomy_name	title	samp_name	paragraph	raw_id	abs_air_humidity	affection_status	age	agrochem_addition	air_temp	air_temp_regm	al_sat	al_sat_meth	alkalinity	alkyl_diethers	altitude	aminopept_act	ammonium	amniotic_fluid_color	analyte_type	anamorph	animal_env	annual_season_precpt	annual_season_temp	antibiotic_regm	antiviral_treatment_agent	atmospheric_data	authority	bac_prod	bac_resp	bacteria_carb_prod	barometric_press	beta_lactamase_family	bio_material	biochem_oxygen_dem	biomass	biomaterial_provider	biospecimen_repository	biospecimen_repository_sample_id	biotic_relationship	biovar	birth_control	birth_date	birth_location	bishomohopanol	blood_blood_disord	body_habitat	body_mass_index	body_product	breed	breeding_history	breeding_method	bromide	build_occup_type	building_setting	calcium	carb_dioxide	carb_nitro_ratio	carbapenemase	cell_line	cell_subtype	cell_type	chem_administration	chem_mutagen	chem_oxygen_dem	child_of	chloride	chlorophyll	climate_environment	clone	clone_lib	collected_by	collection_date	collection_device	collection_method	component_organism	compound	conduc	crop_rotation	cultivar	culture_collection	cur_land_use	cur_vegetation	cur_vegetation_meth	date_of_prior_antiviral_treat	date_of_prior_sars_cov_2_infection	date_of_sars_cov_2_vaccination	death_date	density	depth	derived_from	dermatology_disord	description	dev_stage	dew_point	diet	diet_last_six_month	diether_lipids	disease	disease_stage	diss_carb_dioxide	diss_hydrogen	diss_inorg_carb	diss_inorg_nitro	diss_inorg_phosp	diss_org_carb	diss_org_nitro	diss_oxygen	dominant_hand	dose	douche	down_par	drainage_class	drug_usage	dry_mass	ecotype	edta_inhibitor_tested	efficiency_percent	elev	emulsions	encoded_traits	env_broad_scale	env_local_scale	env_medium	env_package	estimated_size	ethnicity	experimental_factor	exposure_event	extrachrom_elements	extreme_event	extreme_salinity	family_id	family_relationship	fao_class	fertilizer_regm	filter_type	fire	flooding	fluor	foetal_health_stat	food_source	forma	forma_specialis	fungicide_regm	gap_accession	gap_consent_code	gap_consent_short_name	gap_sample_id	gap_subject_id	gaseous_environment	gaseous_substances	gastrointest_disord	genotype	geo_loc_exposure	geo_loc_name	gestation_state	gisaid_accession	gisaid_virus_name	glucosidase_act	gravidity	gravity	growth_hormone_regm	growth_med	growth_protocol	gynecologic_disord	haplotype	health_state	heat_cool_type	heavy_metals	heavy_metals_meth	height_or_length	herbicide_regm	histological_type	hiv_stat	horizon	horizon_meth	host	host_age	host_anatomical_material	host_anatomical_part	host_blood_press_diast	host_blood_press_syst	host_body_habitat	host_body_mass_index	host_body_product	host_body_temp	host_color	host_common_name	host_description	host_diet	host_disease	host_disease_outcome	host_disease_stage	host_dry_mass	host_family_relationship	host_genotype	host_growth_cond	host_health_state	host_height	host_hiv_stat	host_housing	host_infra_specific_name	host_infra_specific_rank	host_last_meal	host_length	host_life_stage	host_occupation	host_phenotype	host_pulse	host_recent_travel_loc	host_recent_travel_return_date	host_sex	host_shape	host_specimen_voucher	host_subject_id	host_substrate	host_taxid	host_tissue_sampled	host_tot_mass	host_variety	host_wet_mass	hrt	humidity	humidity_regm	hysterectomy	identified_by	ifsac_category	ihmc_medication_code	image_file	indoor_space	indoor_surf	indust_eff_percent	infra_specific_name	infra_specific_rank	inorg_particles	intended_consumer	investigation_type	is_tumor	isol_growth_condt	isolate	isolate_name_alias	isolation_source	karyotype	kidney_disord	lab_host	label	last_meal	lat_lon	life_stage	light_intensity	light_type	link_addit_analys	link_class_info	link_climate_info	liver_disord	local_class	local_class_meth	magnesium	maternal_health_stat	mating_type	mean_frict_vel	mean_peak_frict_vel	mechanical_damage	medic_hist_perform	menarche	menopause	methane	microbial_biomass	microbial_biomass_meth	mineral_nutr_regm	misc_param	molecular_data_type	morphology	n_alkanes	narms_isolate_number	nitrate	nitrite	nitro	non_mineral_nutr_regm	nose_mouth_teeth_throat_disord	nose_throat_disord	num_replicons	occup_samp	occupant_dens_samp	occupation	omics_observ_id	org_carb	org_matter	org_nitro	org_particles	organism_count	orgmod_note	original_subject_id	outbreak	oxy_stat_samp	oxygen	part_org_carb	part_org_nitro	particle_class	passage_history	passage_method	passage_number	pathogenicity	pathotype	pathovar	perturbation	pesticide_regm	pet_farm_animal	petroleum_hydrocarb	ph	ph_meth	ph_regm	phaeopigments	phenotype	phosphate	phosplipid_fatt_acid	photon_flux	plant_body_site	plant_growth_med	plant_product	ploidy	pollutants	pool_dna_extracts	population	population_description	porosity	potassium	pre_treatment	pregnancy	pressure	previous_land_use	previous_land_use_meth	primary_prod	primary_treatment	prior_sars_cov_2_antiviral_treat	prior_sars_cov_2_infection	prior_sars_cov_2_vaccination	profile_position	project_name	propagation	pulmonary_disord	pulse	purpose_of_sampling	purpose_of_sequencing	purpose_of_ww_sampling	purpose_of_ww_sequencing	race	radiation_regm	rainfall_regm	reactor_type	redox_potential	ref_biomaterial	reference_material	rel_air_humidity	rel_to_oxygen	repository	resp_part_matter	risk_group	salinity	salinity_meth	salt_regm	same_as	samp_collect_device	samp_mat_process	samp_salinity	samp_size	samp_sort_meth	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	sample_name	sample_type	sars_cov_2_diag_gene_name_1	sars_cov_2_diag_gene_name_2	sars_cov_2_diag_pcr_ct_value_1	sars_cov_2_diag_pcr_ct_value_2	season_environment	secondary_treatment	sediment_type	sequenced_by	serogroup	serotype	serovar	sewage_type	sex	sexual_act	sieving	silicate	size_frac	slope_aspect	slope_gradient	sludge_retent_time	smoker	sodium	soil_type	soil_type_meth	solar_irradiance	soluble_inorg_mat	soluble_org_mat	soluble_react_phosp	source_material_id	source_name	source_type	source_uvig	space_typ_state	special_diet	specimen_voucher	standing_water_regm	store_cond	strain	stud_book_number	study_complt_stat	study_design	study_disease	study_name	sub_species	subclone	subgroup	subject_is_affected	submitted_sample_id	submitted_subject_id	submitter_handle	subspecf_gen_lin	subsrc_note	substrain	substrate	substructure_type	subtype	sulfate	sulfide	super_population_code	super_population_description	surf_air_cont	surf_humidity	surf_material	surf_moisture	surf_moisture_ph	surf_temp	suspend_part_matter	suspend_solids	teleomorph	temp	tertiary_treatment	texture	texture_meth	tidal_stage	tillage	time_last_toothbrush	time_since_last_wash	tiss_cult_growth_med	tissue	tissue_lib	tot_carb	tot_depth_water_col	tot_diss_nitro	tot_inorg_nitro	tot_mass	tot_n_meth	tot_nitro	tot_org_c_meth	tot_org_carb	tot_part_carb	tot_phosp	tot_phosphate	travel_out_six_month	treatment	trophic_level	turbidity	twin_sibling	typ_occupant_dens	type_status	type_strain	urine_collect_meth	urogenit_disord	urogenit_tract_disor	vaccine_received	variety	ventilation_rate	ventilation_type	virus_enrich_appr	virus_isolate_of_prior_infection	wastewater_type	water_content	water_content_soil	water_content_soil_meth	water_current	water_temp_regm	watering_regm	weight_loss_3_month	wet_mass	wind_direction	wind_speed	ww_endog_control_1	ww_endog_control_1_conc	ww_endog_control_1_protocol	ww_endog_control_1_units	ww_endog_control_2	ww_endog_control_2_conc	ww_endog_control_2_protocol	ww_endog_control_2_units	ww_flow	ww_industrial_effluent_percent	ww_ph	ww_population	ww_population_source	ww_pre_treatment	ww_primary_sludge_retention_time	ww_processing_protocol	ww_sample_duration	ww_sample_matrix	ww_sample_salinity	ww_sample_site	ww_sample_type	ww_surv_jurisdiction	ww_surv_system_sample_id	ww_surv_target_1	ww_surv_target_1_conc	ww_surv_target_1_conc_unit	ww_surv_target_1_extract	ww_surv_target_1_extract_unit	ww_surv_target_1_gene	ww_surv_target_1_known_present	ww_surv_target_1_protocol	ww_surv_target_2	ww_surv_target_2_conc	ww_surv_target_2_conc_unit	ww_surv_target_2_extract	ww_surv_target_2_extract_unit	ww_surv_target_2_gene	ww_surv_target_2_known_present	ww_surv_target_2_protocol	ww_temperature	ww_total_suspended_solids
BIOSAMPLE:SAMEA7724404	SAMEA7724404	17124288	SAMEA7724404	ERS5471781		Generic	Generic.1.0	Generic	live	2020-12-20T10:49:06.378	1671699	sand metagenome	13114.makhalanyane.47.s005		Dune sand from Namibia	17124288																																																																																																																		380			tropical desert biome	dune	desert sand	soil			Aridity																												Namibia																																																												TDS4																						metagenome																																																																									7.1																													Namibia dune aridity gradient																																	qiita_sid_13114:13114.makhalanyane.47.s005	soil																																																																																																																																																																	
BIOSAMPLE:SAMEA7724403	SAMEA7724403	17124286	SAMEA7724403	ERS5471780		Generic	Generic.1.0	Generic	live	2020-12-20T10:49:04.736	1671699	sand metagenome	13114.makhalanyane.47.s003		Dune sand from Namibia	17124286																																																																																																																		4			tropical desert biome	dune	desert sand	soil			Aridity																												Namibia																																																												TDI8																						metagenome																																																																									6.7																													Namibia dune aridity gradient																																	qiita_sid_13114:13114.makhalanyane.47.s003	soil																																																																																																																																																																	
BIOSAMPLE:SAMEA7724406	SAMEA7724406	17124142	SAMEA7724406	ERS5471783		Generic	Generic.1.0	Generic	live	2020-12-20T10:47:12.443	1671699	sand metagenome	13114.makhalanyane.47.s008		Dune sand from Namibia	17124142																																																																																																																		421			tropical desert biome	dune	desert sand	soil			Aridity																												Namibia																																																												TDT4																						metagenome																																																																									6.8																													Namibia dune aridity gradient																																	qiita_sid_13114:13114.makhalanyane.47.s008	soil																																																																																																																																																																	
BIOSAMPLE:SAMEA7724428	SAMEA7724428	17124123	SAMEA7724428	ERS5471805		Generic	Generic.1.0	Generic	live	2020-12-20T10:46:59.759	256318	metagenome	13114.BLANK6.12F.ITS		control blank	17124123																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK6.12F.ITS																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK6.12F.ITS	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724432	SAMEA7724432	17124108	SAMEA7724432	ERS5471809		Generic	Generic.1.0	Generic	live	2020-12-20T10:46:33.766	256318	metagenome	13114.BLANK6.6B.ITS		control blank	17124108																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK6.6B.ITS																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK6.6B.ITS	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724405	SAMEA7724405	17124105	SAMEA7724405	ERS5471782		Generic	Generic.1.0	Generic	live	2020-12-20T10:46:31.482	1671699	sand metagenome	13114.makhalanyane.47.s007		Dune sand from Namibia	17124105																																																																																																																		529			tropical desert biome	dune	desert sand	soil			Aridity																												Namibia																																																												TDT1																						metagenome																																																																									6.6																													Namibia dune aridity gradient																																	qiita_sid_13114:13114.makhalanyane.47.s007	soil																																																																																																																																																																	
BIOSAMPLE:SAMEA7724409	SAMEA7724409	17123960	SAMEA7724409	ERS5471786		Generic	Generic.1.0	Generic	live	2020-12-20T10:42:06.863	256318	metagenome	13114.BLANK5.5B.ITS		control blank	17123960																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK5.5B.ITS																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK5.5B.ITS	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724455	SAMEA7724455	17123784	SAMEA7724455	ERS5471832		Generic	Generic.1.0	Generic	live	2020-12-20T10:37:25.603	256318	metagenome	13114.BLANK4.3D.18S		control blank	17123784																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK4.3D.18S																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK4.3D.18S	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724450	SAMEA7724450	17123780	SAMEA7724450	ERS5471827		Generic	Generic.1.0	Generic	live	2020-12-20T10:37:22.917	256318	metagenome	13114.BLANK3.3C.18S		control blank	17123780																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK3.3C.18S																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK3.3C.18S	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724437	SAMEA7724437	17123776	SAMEA7724437	ERS5471814		Generic	Generic.1.0	Generic	live	2020-12-20T10:37:20.231	256318	metagenome	13114.BLANK7.7H.ITS		control blank	17123776																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK7.7H.ITS																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK7.7H.ITS	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724433	SAMEA7724433	17123775	SAMEA7724433	ERS5471810		Generic	Generic.1.0	Generic	live	2020-12-20T10:37:19.554	256318	metagenome	13114.BLANK6.6C.ITS		control blank	17123775																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK6.6C.ITS																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK6.6C.ITS	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724453	SAMEA7724453	17123774	SAMEA7724453	ERS5471830		Generic	Generic.1.0	Generic	live	2020-12-20T10:37:18.873	256318	metagenome	13114.BLANK4.3B.18S		control blank	17123774																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK4.3B.18S																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK4.3B.18S	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724425	SAMEA7724425	17123772	SAMEA7724425	ERS5471802		Generic	Generic.1.0	Generic	live	2020-12-20T10:37:17.397	256318	metagenome	13114.BLANK6.12C.ITS		control blank	17123772																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK6.12C.ITS																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK6.12C.ITS	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724438	SAMEA7724438	17123771	SAMEA7724438	ERS5471815		Generic	Generic.1.0	Generic	live	2020-12-20T10:37:16.722	256318	metagenome	13114.BLANK8.8E.ITS		control blank	17123771																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK8.8E.ITS																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK8.8E.ITS	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724443	SAMEA7724443	17123770	SAMEA7724443	ERS5471820		Generic	Generic.1.0	Generic	live	2020-12-20T10:37:16.018	256318	metagenome	13114.BLANK1.1B.18S		control blank	17123770																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK1.1B.18S																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK1.1B.18S	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724452	SAMEA7724452	17123769	SAMEA7724452	ERS5471829		Generic	Generic.1.0	Generic	live	2020-12-20T10:37:15.298	256318	metagenome	13114.BLANK4.3A.18S		control blank	17123769																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK4.3A.18S																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK4.3A.18S	control blank																																																																																																																																																																	
BIOSAMPLE:SAMEA7724439	SAMEA7724439	17123765	SAMEA7724439	ERS5471816		Generic	Generic.1.0	Generic	live	2020-12-20T10:37:10.830	256318	metagenome	13114.BLANK8.8F.ITS		control blank	17123765																																																																																																																		193			urban biome	research facility	sterile water	misc environment																															USA:CA,San Diego																																																												BLANK8.8F.ITS																						metagenome																																																																																																																																							qiita_sid_13114:13114.BLANK8.8F.ITS	control blank																																																																																																																																																																	
