class	is_a	Slot	Replaced 	Origin	additional mapped slots	aliases	comments	slot_uri	Link	description	Notes / commends
class	is_a	slot	ignore	ignore	ignore		comments	slot_uri	ignore	ignore	ignore
FiltrationActivity		separation_method	funnel	CHMO: Chemical Method Ontology				http://purl.obolibrary.org/obo/CHMO_0000999	https://www.ebi.ac.uk/ols/ontologies/chmo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCHMO_0000999&lang=en&viewMode=All&siblings=false	A method that results in the separation of two or more components according to some property.	
AcidificationActivity		concentration		"EDAM : Bioinformatics operations, data types, formats, identifiers and topics"			"The URI corresponding to the Link is http://edamontology.org/data_2140, but that is for ""Concentration"""		https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_2140	The concentration of a chemical compound.	
AcidificationActivity		source_mat_id	source_material	Genomics Standards Consortium MIxS					https://genomicsstandardsconsortium.github.io/mixs/0000026/	A unique identifier assigned to the material sample that was used in the acidification	
Aliquot		source_mat_id	source_material	Genomics Standards Consortium MIxS					https://genomicsstandardsconsortium.github.io/mixs/0000026/	A unique identifier assigned to the material sample that was used in the weighing activity	
AnalyteStorage	Activity	source_mat_id	source_material	Genomics Standards Consortium MIxS					https://genomicsstandardsconsortium.github.io/mixs/0000026/	A unique identifier assigned to the material sample that was used in the weighing activity	
Extraction		source_mat_id	source_material	Genomics Standards Consortium MIxS					https://genomicsstandardsconsortium.github.io/mixs/0000026/	A unique identifier assigned to the material sample that was used in the extraction activity	
FiltrationActivity		source_mat_id	source_material	Genomics Standards Consortium MIxS					https://genomicsstandardsconsortium.github.io/mixs/0000026/	A unique identifier assigned to the material sample that was used in the extraction activity	
AcidificationActivity		acid		IUPAC Gold Book					https://goldbook.iupac.org/terms/view/A00071	A molecular entity or chemical species capable of donating a hydron (proton) (see Br¿nsted acid) or capable of forming a covalent bond with an electron pair (see Lewis acid).	
AcidificationActivity		unit		IUPAC Gold Book					https://goldbook.iupac.org/terms/view/U06561	"Particular quantity, defined and adopted by convention, with which other quanitities of the same kind are compared in order to express their magnitudes relative to that quantity. Units have conventionally assigned names and symbols."	general unit term for values that don't have something more specific
AnalyteStorage		celsius_temperature	temperature & unit	IUPAC Gold Book					https://goldbook.iupac.org/terms/view/C00928	"Thermodynamic temperature minus 273.15 K, invariably expressed in the SI unit degree Celsius (_C) which is equal to the kelvin. Sometimes the misnomer centigrade temperature is used for Celsius temperature."	
Extraction		extractant	solvent	IUPAC Gold Book					https://goldbook.iupac.org/terms/view/E02299	The active component(s) primarily responsible for transfer of a solute from one phase to the other.	
Extraction		mixing	shaker	IUPAC Gold Book					https://goldbook.iupac.org/terms/view/M03945	"The combining of components, particles or layers into a more homogeneous state. The mixing may be achieved manually or mechanically by shifting the material with stirrers or pumps or by revolving or shaking the container. The process must not permit segregation of particles of different size or properties. Homogeneity may be considered to have been achieved in a practical sense when the sampling error of the processed portion is negligible compared to the total error of the measurement system."	
Extraction		unit		IUPAC Gold Book					https://goldbook.iupac.org/terms/view/U06561	"Particular quantity, defined and adopted by convention, with which other quanitities of the same kind are compared in order to express their magnitudes relative to that quantity. Units have conventionally assigned names and symbols."	general unit term for values that don't have something more specific
FiltrationActivity		conditioning		IUPAC Gold Book					https://goldbook.iupac.org/terms/view/C01242	Preliminary treatment of either phase with a suitable solution of the other phase (in the absence of main extractable solute(s)) so that when the subsequent equilibration is carried out changes in the (volume) phase ratio or in the concentrations of other components are minimized.	synonomous with pre-equilibrium
